das Eis	la glace
das Zitroneneis	la glace au citron
das Vanilleeis	la glace à la vanille
das Schokoeis	la glace au chocolat
das Erdbeereis	la glace à la fraise
das Spaghettieis	la glace spaghetti
der Apfelstrudel	le strudel aux pommes
die Linzertorte	la tarte de Linz
die Sachertorte	la Sachertorte (gâteau au chocolat)
die Eisschokolade	le chocolat glacé
die Sahne	la crème (chantilly)
das Mineralwasser	l'eau minérale
die Limo	la limonade
die Cola	le coca
der Apfelsaft	le jus de pomme
die Apfelschorle	le jus de pomme pétillant
der Tee	le thé
der Kaffee	le café
